Muon#,Band,Date,Time,TempC
1,2,2025-10-09,12:00:15,23
2,1,2025-10-09,12:05:42,23
3,4,2025-10-09,12:12:08,24
4,3,2025-10-09,12:18:33,24
5,2,2025-10-09,12:25:01,23
6,1,2025-10-09,12:31:47,22
7,3,2025-10-09,12:38:12,22
8,2,2025-10-09,12:44:55,22
9,4,2025-10-09,12:51:20,23
10,1,2025-10-09,12:57:38,23
11,2,2025-10-09,13:03:15,24
12,3,2025-10-09,13:09:42,24
13,1,2025-10-09,13:15:08,25
14,4,2025-10-09,13:21:33,25
15,2,2025-10-09,13:27:51,25
16,1,2025-10-09,13:34:16,26
17,3,2025-10-09,13:40:42,26
18,2,2025-10-09,13:47:08,27
19,4,2025-10-09,13:53:29,27
20,1,2025-10-09,13:59:55,27
